Arabic,English
خلال,During
بشكل,In a way
العالم,the scientist
فحسب,Just only
حال,State
الذهاب,going
عليها,on her
بـ,In
أعني,I mean
فعلت,I did
قال,He said
هم,they
المنزل,the home
عنه,about him
ها,Ha
بشأن,about
أفعل,I do
أكون,I be
اللعنة,the curse
للغاية,Extremely
فيه,in it
بين,between
أننا,We are
منك,From you
وهذا,and this is
لكِ,for you
جيدة,Good
يعني,Means
مجرد,merely
أظن,I suspect
انك,You are
مني,Muna
أنّ,that
بالنسبة,about
الأمور,Matters
فكرة,idea
أم,Mother
متى,when
الشيء,Thing
المال,the money
كنا,We were
أقول,I say
عمل,Action
أبداً,Start
ستكون,it will be
عليّ,On
أيّ,Any
أمر,Command
تقول,Says
توقف,to stop
هؤلاء,these
السيد,the master
انظر,Look
لما,when
منه,from him
الطريق,The Road
أشعر,I feel
حصلت,I got
الحياة,life
أني,that I
نفس,same
معه,With
بحاجة,Need
بسبب,Because
الذين,Whose
بأس,Wicked
اي,Any
لكم,to you
تبدو,Appear
أرى,Show
الجحيم,Hell
تكن,Being
اعتقد,Think
عند,At
آسفة,sorry
حيث,where
وأنت,And you
تحت,Under
حسنًا,good
تعال,Come
بالفعل,Indeed
بل,but
فضلك,Please
الأشياء,The things
ليلة,a night
نفسك,yourself
لكي,in order to
تعتقد,U think
وهو,and he
بحق,Right
مشكلة,problem
شيئا,Something
أرجوك,Please
أذهب,Go
يريد,Wants
تماماً,completely
الـ,The
قتل,killing
إنهم,that they
الشخص,the person
رأيت,I have seen
طوال,throughout
بهذه,With this
الشرطة,the police
الأن,now
أحب,Loved
الذى,Which
أيضا,Moreover
بنا,coffee beans
أردت,I wanted
أكن,Be
كلّ,All
النار,fire
سمعت,I heard
اجل,okay
جميع,all
أَنْ,that
قليلاً,a little
مالذي,Cosmopolitical
بأنه,As
والآن,And now
إلي,to me
انتظر,wait
كبير,Big
يعرف,Known
او,or
فيها,In which
حسنٌ,Hassan
الرجال,Men
اريد,I want
لأنه,Because he
السبب,the reason
سنوات,Years
الباب,The Door
نذهب,We go
دون,Without
حياتي,my life
لابد,It must
السيارة,The Car
تريدين,You want
خارج,Outside
ومن,And from
ثلاثة,three
فعله,To do
تذهب,Go
كانوا,they were
اذهب,Go
الحصول,Get
يقول,Says
الواقع,Indeed
كثيراً,Much
اعرف,I know
أنهم,that they
سبب,a reason
مما,Than
أحتاج,I need
قمت,I did
إنّه,it's a
منها,Of which
كنتُ,I was
للتو,just yet
استطيع,I can
نوع,Type
هنالك,there
تعرفين,You know
جميلة,beautiful
بكل,With all
بأنك,You are
لأنني,because I
الأفضل,Best
دائما,Always
الامر,Matter
اين,where
بالضبط,exactly
جون,John
دعنا,Let's
أنظر,Look
المدينة,City
الخاص,private
تعلمين,Learn
جميل,Lovely
الأرض,Earth
لحظة,Moment
الطريقة,Method
طريقة,method
رائعة,amazing
سعيد,happy
دقيقة,Accurate
لكنه,But he
غرفة,room
إليه,mechanism
التحدث,Talk
ثانية,a second
دعني,Leave me
لكنني,But I am
الفتاة,the girl
لمَ,did not
ولم,And not
أنتم,you all
عظيم,Great
انهم,that they
اوه,Oh
جيداً,well
لديّ,I have
بينما,while
نفسي,Myself
إليك,To you
قام,Stand up
لديها,she has
عام,Public
اعلم,Know
يعمل,Works
سأكون,I'll be
عيد,Feast
رفاق,friends
ألم,pain
لهم,for them
تعمل,Working
تتحدث,Spoke
القيام,The performance
الله,Allah
ساعة,hour
المرة,Bitter
هيّا,Let's go
ترى,See
مهلاً,Hey
جاك,Jack
أنتَ,you
الخير,The good
متأكد,sure
جميعاً,All
أحاول,I'm trying
شيئ,Thing
الموت,the death
رقم,number
منهم,who are they
سيارة,car
مجدداً,again
ايها,O you
عنك,About you
يفعل,Do
فقد,Lost
ذهبت,you went
المزيد,More
أتمنى,I hope
مات,Die
يتم,Complete
لكني,But I am
طريق,road
وجدت,have found
وقد,Having
أول,first
معها,with her
سعيدة,happy
لدى,I have
أقصد,I mean
إلا,Except
الرئيس,President
احد,One
فرصة,chance
الأولى,First
تباً,Damn
يرام,Dramatically
عليكِ,on you
يكفي,It is enough
علاقة,a relationship
صغيرة,Small
الأقل,the least
لأنك,because you are
غريب,strange
لنذهب,Let's go
المدرسة,School
ــ,-
الصباح,Morning
حين,when
صديقي,My friend
سأذهب,I will go
أنكِ,You are
تأتي,Come
الخاصة,Special
أخبرني,tell me
نستطيع,We can
نفسه,Himself
التى,that
الأطفال,children
حالة,condition
لى,for me
هى,she
يستطيع,Can
يجري,Being
سنة,year
نفعل,Do
أتعلم,you know what
نهاية,End
أفكر,think
أود,Preach
عشر,ten
شىء,Thing
أقوم,I do
الحب,love
أنّه,it's a
كنتِ,I was
معاً,together
أى,Any
انني,I am
لديهم,They have
جديدة,New
يعلم,Know
قالت,She said
بدأت,Start
الأول,the first
دقائق,minutes
عني,About Me
سيدة,Mrs.
حالك,You are
إنني,I am
عزيزي,Dear
رجال,men
نعرف,We know
الجنس,Sex
رؤية,Vision
ينبغي,Should
الي,to me
حصل,happened
معنا,With us
الطفل,Child
وليس,Not
كي,in order to
تحتاج,need
قليلا,a little
حياة,Life
اسمع,Hear
الساعة,the hour
أكبر,Larger
اليس,Elice
فهمت,Understood
عنها,about her
أريدك,I want you
رجاءً,Please
وماذا,and what
ظننت,I thought
سيدتي,my lady
البعض,Some
الصغير,Little
تعني,Means
إنّها,It
البيت,the house
رأيك,Your opinion
تكوني,You are
هُنا,here
والدك,Your father
مهما,Whatever
العودة,Return
تماما,completely
لطيف,Nice
يقوم,get up
الليل,the night
السيدة,Ms
أخي,My brother
بأنني,That I am
طويلة,long
والدي,my father
وهي,Which
حان,Come
أقل,less
الهاتف,the phone
عبر,via
مهلا,Hey
ترجمة,Translation
نحتاج,We need
أيتها,Oh
وما,gesticulate
اكثر,More
أتحدث,I speak
أيام,days
أحدهم,One of them
أولاً,First
الماضي,Past
أحبك,I love you
الطعام,the food
البقاء,Survival
معرفة,knowledge
العام,Year
أية,any
ل,to
أصبح,had become
ذات,In the same
الجديد,the new
مِنْ,from
لكنك,but you are
أبدا,Start
وضع,put
ً,A
سيئة,Bad
طفل,child
فوق,above
حياتك,Life
داخل,inside
وكان,Be
نكون,We are
خطأ,Error
سام,Poisonous
ونحن,Us
منزل,a house
تشعر,feel
المفترض,Assumed
نتحدث,we are talking
طويل,Long
نصف,Half
فريق,Team
أخذ,Taking
الماء,water
لاحقاً,Later
حق,right
يأتي,Come
صديق,Friend
غداً,tomorrow
سأفعل,I will do
منا,from U.S
الصغيرة,Small
نريد,We want
وانا,Me
للمنزل,For home
ايضا,also
آه,Uh
خذ,take
جزء,bit
لكنها,but she
جو,Atmosphere
أشياء,Things
كلمة,a word
تفعلين,You do
أعمل,Make
يمكنه,Can
الآخر,The other
تحاول,Tried
هَلْ,Do you
صغير,young
لستُ,I am not
بخصوص,regarding
أخبرك,I tell you
الحال,adverb
بأي,With any
نظرة,a look
لأجل,For
الخروج,Exit
تظن,You think
النوم,sleep
دكتور,Doctor
المرأة,woman
بد,Be
لمدة,Period
وجود,Existence
الحرب,the war
ذا,Be
تقلق,Worry
بلا,without
عرفت,I knew
ثلاث,three
هلا,Hello
أدري,I know
اللعين,Dreaded
ذهب,gold
الا,Except
الأسبوع,the week
الوحيدة,The only one
كله,Entire
تعالي,come
مايكل,Michael
إنك,You are
كلاّ,both
حاولت,I tried
أهلاً,Hello
دعونا,We Invited
اخرى,Other
أنّك,You are
وشك,Suspicious
فعلاً,Really
وسوف,will
عائلة,family
افعل,I do
عدم,non
أخبرتك,I told you
كثيرا,Much
سيدى,my lord
رئيس,President
فأنا,I am
الغرفة,the room
وحسب,According to
الخارج,the outside
بعيداً,Away
أعطني,Give me
اذن,Ear
سيء,Bad
العديد,Many
أصبحت,I became
الطبيب,the doctor
رسالة,Message
خمسة,five
كَانَ,It was
يذهب,he goes
العشاء,the Dinner
الفتيات,the girls
النساء,Women
ضد,against
تحصل,Obtain
نقوم,We do
جيدا,well
يهم,Important
الموضوع,Topic
وفي,In
الممكن,Possible
اخر,else
الفتى,Boy
مباشرة,directly
بالأمر,By order
أتذكر,I remember
بيت,a house
مايك,Mike
لأني,because I am
بطريقة,in a way
ساعات,Hours
حينما,While
فترة,a period
الأشخاص,People
نيويورك,New York
أراك,See you
أنتي,you
شكرًا,Thanks
اسم,Noun
قصة,story
توجد,Exist
القادمة,Upcoming
امرأة,woman
فتى,boy
أَنا,I am
افضل,Best
حقيقي,TRUE
بواسطة,by
مجنون,crazy
زوجتي,my wife
أهذا,Is this
متأكدة,Skeptical
ذاهب,Going
يحصل,Gets
تحب,Love
أتعرف,Know
النهاية,the end
مكتب,Desk
ولن,He will not
مثلك,same to you
اننا,We are
بالخارج,Outside
لهذه,For this
الحق,Right
بلى,indeed
أصدق,believe
أخر,else
آمل,Amal
اه,Uh
أنْ,that
الإطلاق,Release
فرانك,Frank
طلب,Request
بدأ,seem
لعبة,Game
مرحبًا,welcome
جورج,George
قريباً,soon
اني,that I
مجموعة,a group
أمام,Before
الحديث,the talk
جي,J
مساعدتك,Your help
حاول,Try
شخصاً,A person
حقيقة,fact
جميعا,All of all
اللقاء,Meeting
وبعد,After
مدى,Bezel
صورة,picture
بأنها,That is
سوى,but
التفكير,Thinking
الملك,the king
الأخيرة,Last
الثانية,the second
فهو,Being
مِن,from
تحدث,to speak
فيما,In
الوضع,the situation
عدد,number
حفلة,a party
ولكني,But
لسنا,We are not
تبقى,Stay
بشيء,Something
مدينة,city
كهذا,Like this
انتهى,is over
كُلّ,All
يحاول,Try
نحو,Toward
أشهر,Months
مثير,Thrilling
شركة,company
تفهم,Understand
اسف,Sorry
الجديدة,New
لكل,for every
أصدقاء,friends
النوع,Type
الجيد,Good
اى,any
إليها,to her
بأني,By me
ميت,dead
بيننا,Between us
الرب,God
عملية,proces
ذو,Baccalaureate
بيتر,Peter
بعضنا,Some of us
القضية,the case
وكل,And all
أحضر,Brought
قيد,Restriction
تشارلي,Charlie
أخرج,Get out
قادم,coming
الواضح,Clear
دعيني,Leave me
تفضل,please enter
توم,Tom
أتيت,I came
أيضًا,also
أسمع,Hear
تأخذ,Take
العائلة,the family
بنفسك,by yourself
موعد,an appointment
عندي,I have
أثناء,during
ممكن,Maybe
تخبرني,You tell me
إذًا,if
الكبير,Great
صاح,Hoot
إنتظر,I am waiting
الزواج,marriage
فعلته,I did it
بكِ,You
ولكنه,But
حبيبتي,My dear
تذكر,to remember
أمك,Your mother
مستحيل,No way
اعتقدت,I thought
إليّ,to me
علم,Flag
قل,Say
طلبت,Requested
ربّما,Maybe
ذاك,that
الأخرى,The other
يحتاج,Need
الهي,divine
زلت,Remove
نسيت,I forgot
وصلت,I arrived
انتظري,Wait
نعلم,Teach
أنّي,that I
النظر,look
إذهب,Go
أتريد,you want to
عدة,several
سيحدث,It will happen
ابن,Son
لديكِ,You have
الصعب,Difficult
تقريباً,almost
الحظ,Luck
ألف,one thousand
مساعدة,help
تصبح,Become
سأقوم,I will do
جين,Gene
جئت,I came
خلف,behind
خمس,five
د,Dr
الحقيقي,Real
منكم,You are from you
دي,De
يمكنكِ,you may
أربعة,four
القليل,Little
يزال,Remove
الدم,the blood
إننا,We are
أسرع,hurry up
البداية,the start
سأعود,I'll come back
صعب,Hard
بعيدا,Away
كن,Be
عرض,an offer
بكثير,Much
اسمه,its name
تفكر,Contemplate
آنسة,Ms
تعتقدين,You think
فقدت,Lost
مهم,Important
يتحدث,He speaks
بتلك,That
لأي,for any
بعدها,Then
يريدون,They want
يوماً,One day
يعود,Back
جاء,came
هُناك,there
ترك,to leave
المناسب,the appropriate
السؤال,the question
اكون,I be
الآخرين,Others
تقصد,You mean
اتصل,call
تبدين,You look
للعمل,for work
معهم,With them
التالي,next one
شرطة,police
قط,Never
جريمة,a crime
أبحث,Search
توقفي,Stop
بنفسي,by myself
الشمس,the sun
فكرت,I think
يفترض,Supposedly
السماء,The sky
الوصول,Access
الجانب,the side
أحصل,Get
عشرة,ten
معا,together
أعود,I come back
المعلومات,the information
تحمل,carrying
حَسناً,good
أطفال,children
الثاني,The second
جيّد,good
هذة,This is amazing
ببعض,Some
يارجل,Hey man
ماري,Marie
وداعاً,Good-bye
يعد,Prepare
الأيام,the days
أسوأ,worst
مشاكل,Troubles
